"","Var1","Var2","Var3","value"
"1018",1,4,85,2
"1019",2,4,85,2
"1020",3,4,85,2
"1021",1,1,86,34
"1022",2,1,86,34
"1023",3,1,86,30
"1024",1,2,86,6
"1025",2,2,86,6
"1026",3,2,86,6
"1027",1,3,86,5
"1028",2,3,86,5
"1029",3,3,86,4
"1030",1,4,86,2
"1031",2,4,86,2
"1032",3,4,86,2
"1033",1,1,87,38
"1034",2,1,87,38
"1035",3,1,87,30
"1036",1,2,87,5
"1037",2,2,87,5
"1038",3,2,87,5
"1039",1,3,87,4
"1040",2,3,87,4
"1041",3,3,87,4
"1042",1,4,87,2
"1043",2,4,87,2
"1044",3,4,87,2
"1045",1,1,88,29
"1046",2,1,88,29
"1047",3,1,88,29
"1048",1,2,88,6
"1049",2,2,88,6
"1050",3,2,88,6
"1051",1,3,88,2
"1052",2,3,88,2
"1053",3,3,88,2
"1054",1,4,88,3
"1055",2,4,88,3
"1056",3,4,88,3
"1057",1,1,89,16
"1058",2,1,89,16
"1059",3,1,89,16
"1060",1,2,89,7
"1061",2,2,89,7
"1062",3,2,89,6
"1063",1,3,89,3
"1064",2,3,89,3
"1065",3,3,89,3
"1066",1,4,89,2
"1067",2,4,89,2
"1068",3,4,89,2
"1069",1,1,90,19
"1070",2,1,90,19
"1071",3,1,90,18
"1072",1,2,90,5
"1073",2,2,90,5
"1074",3,2,90,5
"1075",1,3,90,3
"1076",2,3,90,3
"1077",3,3,90,3
"1078",1,4,90,2
"1079",2,4,90,2
"1080",3,4,90,2
"1081",1,1,91,19
"1082",2,1,91,19
"1083",3,1,91,19
"1084",1,2,91,9
"1085",2,2,91,9
"1086",3,2,91,9
"1087",1,3,91,5
"1088",2,3,91,5
"1089",3,3,91,5
"1090",1,4,91,2
"1091",2,4,91,2
"1092",3,4,91,2
"1093",1,1,92,24
"1094",2,1,92,24
"1095",3,1,92,24
"1096",1,2,92,6
"1097",2,2,92,6
"1098",3,2,92,6
"1099",1,3,92,3
"1100",2,3,92,3
"1101",3,3,92,3
"1102",1,4,92,2
"1103",2,4,92,2
"1104",3,4,92,2
"1105",1,1,93,26
"1106",2,1,93,26
"1107",3,1,93,26
"1108",1,2,93,8
"1109",2,2,93,8
"1110",3,2,93,8
"1111",1,3,93,6
"1112",2,3,93,6
"1113",3,3,93,6
"1114",1,4,93,2
"1115",2,4,93,2
"1116",3,4,93,2
"1117",1,1,94,28
"1118",2,1,94,28
"1119",3,1,94,27
"1120",1,2,94,4
"1121",2,2,94,4
"1122",3,2,94,4
"1123",1,3,94,4
"1124",2,3,94,4
"1125",3,3,94,4
"1126",1,4,94,3
"1127",2,4,94,3
"1128",3,4,94,3
"1129",1,1,95,15
"1130",2,1,95,15
"1131",3,1,95,15
"1132",1,2,95,7
"1133",2,2,95,7
"1134",3,2,95,7
"1135",1,3,95,4
"1136",2,3,95,4
"1137",3,3,95,4
"1138",1,4,95,2
"1139",2,4,95,2
"1140",3,4,95,2
"1141",1,1,96,26
"1142",2,1,96,26
"1143",3,1,96,24
"1144",1,2,96,7
"1145",2,2,96,7
"1146",3,2,96,6
"1147",1,3,96,3
"1148",2,3,96,3
"1149",3,3,96,3
"1150",1,4,96,2
"1151",2,4,96,2
"1152",3,4,96,2
"1153",1,1,97,29
"1154",2,1,97,29
"1155",3,1,97,29
"1156",1,2,97,3
"1157",2,2,97,3
"1158",3,2,97,3
"1159",1,3,97,5
"1160",2,3,97,5
"1161",3,3,97,5
"1162",1,4,97,2
"1163",2,4,97,2
"1164",3,4,97,2
"1165",1,1,98,12
"1166",2,1,98,12
"1167",3,1,98,12
"1168",1,2,98,6
"1169",2,2,98,6
"1170",3,2,98,6
"1171",1,3,98,2
"1172",2,3,98,2
"1173",3,3,98,2
"1174",1,4,98,2
"1175",2,4,98,2
"1176",3,4,98,2
"1177",1,1,99,28
"1178",2,1,99,28
"1179",3,1,99,28
"1180",1,2,99,9
"1181",2,2,99,9
"1182",3,2,99,9
"1183",1,3,99,2
"1184",2,3,99,2
"1185",3,3,99,2
"1186",1,4,99,2
"1187",2,4,99,2
"1188",3,4,99,2
"1189",1,1,100,26
"1190",2,1,100,26
"1191",3,1,100,26
"1192",1,2,100,14
"1193",2,2,100,14
"1194",3,2,100,14
"1195",1,3,100,2
"1196",2,3,100,2
"1197",3,3,100,2
"1198",1,4,100,1
"1199",2,4,100,1
"1200",3,4,100,1
"1201",1,1,101,19
"1202",2,1,101,19
"1203",3,1,101,19
"1204",1,2,101,6
"1205",2,2,101,6
"1206",3,2,101,6
"1207",1,3,101,4
"1208",2,3,101,4
"1209",3,3,101,4
"1210",1,4,101,2
"1211",2,4,101,2
"1212",3,4,101,2
"1213",1,1,102,28
"1214",2,1,102,28
"1215",3,1,102,28
"1216",1,2,102,10
"1217",2,2,102,10
"1218",3,2,102,9
"1219",1,3,102,3
"1220",2,3,102,3
"1221",3,3,102,3
"1222",1,4,102,3
"1223",2,4,102,3
"1224",3,4,102,3
"1225",1,1,103,26
"1226",2,1,103,26
"1227",3,1,103,25
"1228",1,2,103,4
"1229",2,2,103,4
"1230",3,2,103,4
"1231",1,3,103,2
"1232",2,3,103,2
"1233",3,3,103,2
"1234",1,4,103,2
"1235",2,4,103,2
"1236",3,4,103,2
"1237",1,1,104,29
"1238",2,1,104,29
"1239",3,1,104,28
"1240",1,2,104,9
"1241",2,2,104,9
